Updated,Title,Content
2020/07/28 19:15 (GMT+2),"Microtron model progress 2020/07 (English%20section%208f6665fa0621410daa32502748e3cc5d/3D%20modeling%20532ceb61c55b4fe88692c0bf8cc617d3/Microtron%20model%20progress%202020%2007%20d296affea74543288cd1d64e7750158f.html) ",Progress on my 3D microtron model.
2020/08/02 23:07 (GMT+2),"BangleJS opensource smartwatches (English%20section%208f6665fa0621410daa32502748e3cc5d/Improvements%2081c2554bd4004493b59e8982ac8939c6/The%20Most%20Personal%20Device%20experiment%2049bcfd6b0102421d9cd0dd67d2035874/BangleJS%20opensource%20smartwatches%20dc2a1b700a1c4bd38c63da00902d4b3f.html) ","My quest for programmable smartwatches lead me to a lot of googling sessions, during which I've discovered BangleJS, open source smartwatches programmable with JavaScript."
2020/08/27 15:29 (GMT+2),"Reply to; The Recovering Rationalist 01; A Path Forward (English%20section%208f6665fa0621410daa32502748e3cc5d/Philosophy%2092eca96c7d574b469ee9589161917932/Reply%20to;%20The%20Recovering%20Rationalist%2001;%20A%20Path%20Fo%20e3488ba244ff438abea85553225ef452.html) ",Reply to the blogpost `The Recovering Rationalist 01: A Path Forward`.
2020/08/27 15:36 (GMT+2),"Rationality; From AI to Zombies as on demand book (Paperclips%20acd2a190121b46c4a5351f39a00e5cf1/Rationality;%20From%20AI%20to%20Zombies%20as%20on%20demand%20book%20c948a2150f1c4206a06edb9b3c7efd82.html) ",Info how you can print this book in on demand service.
2020/09/12 3:25 (GMT+2),"Newsletter 2020-09-12; Waves of productivity (English%20section%208f6665fa0621410daa32502748e3cc5d/Weekly%20updates%20d4cb77d7f9fe4796b38cf84ac9efb178/Newsletter%202020-09-12;%20Waves%20of%20productivity%20253b8fde6fc8455dab84c022e1f19edf.html) ",Some of the stuff I did in last month and a half.
2020/09/12 3:36 (GMT+2),"Interesting graffiti I've seen (Paperclips%20acd2a190121b46c4a5351f39a00e5cf1/Interesting%20graffiti%20I've%20seen%200a9d5dd758954d419e496b6ea39e3d2b.html) ",Photos of graffiti I've taken.
2020/09/20 4:31 (GMT+2),"3D ePUB icon for my articles about Self (English%20section%208f6665fa0621410daa32502748e3cc5d/3D%20modeling%20532ceb61c55b4fe88692c0bf8cc617d3/3D%20ePUB%20icon%20for%20my%20articles%20about%20Self%20e3beed1bfb43492999b5b6ebe0af79bf.html) ",Lowpoly 3D modeling I did for fun. Description of wrong turns I've taken and time I've waisted on that.
2020/09/28 13:52 (GMT+2),"3D Starship in the Prague cityscape (English%20section%208f6665fa0621410daa32502748e3cc5d/3D%20modeling%20532ceb61c55b4fe88692c0bf8cc617d3/3D%20Starship%20in%20the%20Prague%20cityscape%209a508cbea87149ce94eb48d56beeee59.html) ",In scale SpaceX's Starship in the Prague cityscape. Writeup about all kinds of difficulties with Blender and how to overcome them.
2020/10/05 15:59 (GMT+2),"Tools I use: argparse builder (English%20section%208f6665fa0621410daa32502748e3cc5d/Programming%20782f0b85dfd14027a6561954bf7bd674/Tools%20I%20use%2033b8cb1035194f24b6cec6ed85b4e5d0/Tools%20I%20use%20argparse%20builder%206fd6aea29e494f45902fe8ce63da08a3.html) ",argparse builder is a web based graphical interface for quick creation of the argparse commandline switches for your python scripts.
2020/10/11 21:50 (GMT+2),"Joscha Bach; Artificial Consciousness and the Nature of Reality (English%20section%208f6665fa0621410daa32502748e3cc5d/Philosophy%2092eca96c7d574b469ee9589161917932/Joscha%20Bach;%20Artificial%20Consciousness%20and%20the%20Natu%207a8982468df64ad0945d253f18a439b1.html) ",Pointer to excellent podcast with Joscha Bach & Lex Friedman (podcast episode 101).
2020/10/20 9:28 (GMT+2),"Robots I've played with (English%20section%208f6665fa0621410daa32502748e3cc5d/Hardware%20cc05b2eaf3484c38bab698bd71deeaab/Robots%20I've%20played%20with%20d9f2f3fb7a014e9799a34f75354f96a8.html) ",Pictures of the robot manipulators I've played with in the past.
2020/12/06 20:09 (GMT+1),"Microtron model progress 2020/12; Case for the crystal (English%20section%208f6665fa0621410daa32502748e3cc5d/3D%20modeling%20532ceb61c55b4fe88692c0bf8cc617d3/Microtron%20model%20progress%202020%2012;%20Case%20for%20the%20cry%2055617d5fc3e34a43b8c2156b72ff8d30.html) ",Short writeup about modeling of the microtron crystal case component.
2020/12/06 19:30 (GMT+1),"PyAtom disappeared (Paperclips%20acd2a190121b46c4a5351f39a00e5cf1/Things%20that%20disappeared%20732fc0aa42604088bc2f8e933df40bc2/PyAtom%20disappeared%20960474c6ce344c6eabc8451623314fa6.html) ","I've used pyatom module to generate Atom feeds for my blog, but also generally for all kinds of stuff for maybe four or five years. Then it disappeared."
2020/12/12 11:26 (GMT+1),"Programmer's critique of missing structure of operating systems (English%20section%208f6665fa0621410daa32502748e3cc5d/Programming%20782f0b85dfd14027a6561954bf7bd674/Programmer's%20critique%20of%20missing%20structure%20of%20oper%2040070aff530843389d579eaae5c1346c.html) ",Updated list of resources to relevant articles. Added https://weinholt.se/articles/non-posix-filesystems/ and https://raphlinus.github.io/text/2020/10/26/text-layout.html
2020/12/25 15:40 (GMT+1),"Microtron model progress 2020/12; Texturing of the microtron (English%20section%208f6665fa0621410daa32502748e3cc5d/3D%20modeling%20532ceb61c55b4fe88692c0bf8cc617d3/Microtron%20model%20progress%202020%2012;%20Texturing%20of%20the%20949caad2d81a438597dfdd8c8637cc4e.html) ","As mentioned in the last article, I got to the point, where I remodeled the insides of the microtron and everything was ready to be textured."
2021/01/08 0:42 (GMT+1),"Newsletter 2021-01-08; Defragmentation in progress (English%20section%208f6665fa0621410daa32502748e3cc5d/Weekly%20updates%20d4cb77d7f9fe4796b38cf84ac9efb178/Newsletter%202021-01-08;%20Defragmentation%20in%20progress%20359876a1bff9460686bfb3132826e849.html) ","Opensource contributions, book report, improvements, published blogposts and generally progress in my life and work."
2021/01/15,"Prusa MK3S+ 3D printer - assembly and first prints (English%20section%208f6665fa0621410daa32502748e3cc5d/3D%20printing%20ccf53b5d87f6490f9e17f6c0c932c46a/Prusa%20MK3S+%203D%20printer%20-%20assembly%20and%20first%20prints%202ed7e672a152446199729fc97f1a19ff.html) ",Assembly of the printer and first impressions.
2021/01/23 12:12 (GMT+1),"3D printing exhibit 1; Headphone holder (English%20section%208f6665fa0621410daa32502748e3cc5d/3D%20printing%20ccf53b5d87f6490f9e17f6c0c932c46a/3D%20printing%20exhibit%201;%20Headphone%20holder%20124bf18dd5af4503b82f6fc6b064a0e0.html) ",Design and experience of creating custom 3D printed headphone holder.
2021/06/22 17:11 (GMT+2),"Geometric center of Prague (English%20section%208f6665fa0621410daa32502748e3cc5d/3D%20modeling%20532ceb61c55b4fe88692c0bf8cc617d3/Geometric%20center%20of%20Prague%2004fcaf5c3d314f2f948115783f94205c.html) ",How to look for geometric center of Prague using Blender.
2021/06/24 13:48 (GMT+2),"How to set Blender for 3D printing (English%20section%208f6665fa0621410daa32502748e3cc5d/3D%20printing%20ccf53b5d87f6490f9e17f6c0c932c46a/How%20to%20set%20Blender%20for%203D%20printing%20b9e2dbd1dc014285b2d646e18fe1b5d8.html) ",Quick informal blog with guide how to set Blender template for 3D printing.
2021/06/26 17:26 (GMT+2),"Microtron under the Vítkov Hill (English%20section%208f6665fa0621410daa32502748e3cc5d/Technological%20marvels%20aaede9671ab74910ba425ea5f8ee480f/Microtron%20under%20the%20Vi%CC%81tkov%20Hill%20b4a22a2de9794218a661b9c14bbb85df.html) ","The Vítkov Hill in the center of Prague hides a pedestrian tunnel under it, in addition to several old tunnels for trains. But only few people know what lies behind completely inconspicuous spray-painted metal doors."
2021/10/29 0:18 (GMT+2),"Reasons why I decided to abandon RPython in tinySelf (English%20section%208f6665fa0621410daa32502748e3cc5d/Programming%20782f0b85dfd14027a6561954bf7bd674/tinySelf%2057c3b418d3bc4c879fad5c5397310d86/Reasons%20why%20I%20decided%20to%20abandon%20RPython%20in%20tinySe%205c0944f88de6405086a83ba21f876f1b.html) ",Story about how I deded to rewrite my toy language to Java.
2021/10/29 0:23 (GMT+2),"tinySelfEE 2021-07; let's throw away the Symbolic eval code (English%20section%208f6665fa0621410daa32502748e3cc5d/Programming%20782f0b85dfd14027a6561954bf7bd674/tinySelf%2057c3b418d3bc4c879fad5c5397310d86/tinySelfEE%202021-07;%20let's%20throw%20away%20the%20Symbolic%20%2014e9a5e720bb4740bebf1a4876624387.html) ","Free flow thought process capturing some of my decisions regarding tinySelfEE development, specifically why I thrown away all the symbolic eval code."
2021/10/29 5:29 (GMT+2),"Newsletter 2021-10-29; Monster post (English%20section%208f6665fa0621410daa32502748e3cc5d/Weekly%20updates%20d4cb77d7f9fe4796b38cf84ac9efb178/Newsletter%202021-10-29;%20Monster%20post%20b1dc244e0e4d4d6ebe78bbb070ba1992.html) ","Some of the more important points in my year, and also general update regarding the tinySelf, objWiki and other projects of mine. Expect a lot of text."
2021/11/20 15:29 (GMT+1),"Tools I use: PyCharm / Idea plugins (English%20section%208f6665fa0621410daa32502748e3cc5d/Programming%20782f0b85dfd14027a6561954bf7bd674/Tools%20I%20use%2033b8cb1035194f24b6cec6ed85b4e5d0/Tools%20I%20use%20PyCharm%20Idea%20plugins%2068f960aa285543bc8920a60476ff0842.html) ",List of all the plugins I use in PyCharm and Idea.
2021/11/30 23:11 (GMT+1),"Tools I use: PyCharm (English%20section%208f6665fa0621410daa32502748e3cc5d/Programming%20782f0b85dfd14027a6561954bf7bd674/Tools%20I%20use%2033b8cb1035194f24b6cec6ed85b4e5d0/Tools%20I%20use%20PyCharm%206a3a9d09d9f94334a7b0dc409f6a5056.html) ",Tour trough PyCharm & some of the reasons why I use it.
2022/01/14 5:19 (GMT+1),"Antenna from my dreams (3D render) (English%20section%208f6665fa0621410daa32502748e3cc5d/3D%20modeling%20532ceb61c55b4fe88692c0bf8cc617d3/Antenna%20from%20my%20dreams%20(3D%20render)%20844c7c6adee9464f8f5ffaf5b42acdf8.html) ",I've had a dream and then I've modelled it using Blender.
2022/01/14 5:28 (GMT+1),"How I use personal wiki (English%20section%208f6665fa0621410daa32502748e3cc5d/Organization%20of%20information%20591c0c4808d6486fac52abf26ee06962/How%20I%20use%20personal%20wiki%20ca172419ae8b45869b6edb5e61aa5aa6.html) ",Tour over my personal wiki layout.
2022/02/20 20:51 (GMT+1),"Newsletter 2022-02-20; Small projects (English%20section%208f6665fa0621410daa32502748e3cc5d/Weekly%20updates%20d4cb77d7f9fe4796b38cf84ac9efb178/Newsletter%202022-02-20;%20Small%20projects%20adf082b97dbf495cb97f28d9767106bf.html) ","Opensource contributions, book report, improvements, published blogposts and generally progress in my life and work."
2022/04/28 16:26 (GMT+2),"List of notion.so python API libraries 2022-04 (English%20section%208f6665fa0621410daa32502748e3cc5d/Explorations%204bfadaaa4fba4ef28a2ebd3ecd4038bb/List%20of%20notion%20so%20python%20API%20libraries%202022-04%2036574d4b046a4345b21b3f4eb15371b4.html) ",I've looked into various opensource libraries for notion.so API.
2022/04/28 16:44 (GMT+2),"HireRight experience (spoiler; it was bad) (English%20section%208f6665fa0621410daa32502748e3cc5d/Stories%201386783f67204ebe973cb4f42ef2430e/HireRight%20experience%20(spoiler;%20it%20was%20bad)%2064a5e3a1906e407cb5f610acbd0e2236.html) ","Story about HireRight, and ""unparalleled experiences for you and your candidates"" they provided for me and my friends."
2022/04/28 17:26 (GMT+2),"Creating spaces by opening dimensions (English%20section%208f6665fa0621410daa32502748e3cc5d/Philosophy%2092eca96c7d574b469ee9589161917932/Creating%20spaces%20by%20opening%20dimensions%20886401f94da34aed9ffe2b708c99bd7e.html) ",Essay about opening new dimensions and creating spaces which others can fill with creativity.
2023/01/16 6:58 (GMT+1),"Weird invitations (Paperclips%20acd2a190121b46c4a5351f39a00e5cf1/Weird%20invitations%20e44df75cb0d440afa5bb6348c0258ea8.html) ",Added new paperclip.
2023/01/16 7:03 (GMT+1),"3D printing exhibit 2; Window shield for portable air conditioner (English%20section%208f6665fa0621410daa32502748e3cc5d/3D%20printing%20ccf53b5d87f6490f9e17f6c0c932c46a/3D%20printing%20exhibit%202;%20Window%20shield%20for%20portable%20%20031bd433fe474dd1bad6e1c225404195.html) ",Short log of how I've built a shield into the window for the portable air conditioner.
2023/01/16 7:06 (GMT+1),"SLAM (English%20section%208f6665fa0621410daa32502748e3cc5d/Technological%20marvels%20aaede9671ab74910ba425ea5f8ee480f/SLAM%208b1171e4b8974d6f8f4133d13e60cbd8.html) ",Backport of my old blogpost about SLAM - Supersonic Low Altitude Missile.
2023/01/16 8:50 (GMT+1),"War stories: Romanian Infocenter aka the pontaj story (English%20section%208f6665fa0621410daa32502748e3cc5d/Stories%201386783f67204ebe973cb4f42ef2430e/War%20stories%20Romanian%20Infocenter%20aka%20the%20pontaj%20sto%203007cd4ff5e24099bdac41205e69a329.html) ","Story about one deployment into the production, and also musing on the devops trends."
2023/02/11 1:43 (GMT+1),Control panels / alt interface (Paperclips%20acd2a190121b46c4a5351f39a00e5cf1/Control%20panels%20alt%20interface%20260648f08d0e4e7ea82d973a72a550e0.html),Paperclip updated with my experience from a hackathon.
2023/03/09 12:36 (GMT+1),"Inspiration for objWiki (English%20section%208f6665fa0621410daa32502748e3cc5d/Programming%20782f0b85dfd14027a6561954bf7bd674/objWiki%20cb9e0d35ebbe4298ac3a55c7fa0b5e12/Inspiration%20for%20objWiki%200ec65900da4d4a1588a9019cb5154d86.html) ",Updated (added new links and introductions of interesting projects).
2023/03/10 14:20 (GMT+1),"SolarPi experiment 1: The PiJuice Fiasco (English%20section%208f6665fa0621410daa32502748e3cc5d/Hardware%20cc05b2eaf3484c38bab698bd71deeaab/SolarPi%20experiment%201%20The%20PiJuice%20Fiasco%20b8ae57cc9f624d8abdcf85b0dc919e2e.html) ","I wanted to create a home server that was capable of running on solar power. I failed. Mostly because I was too naive and believed that a specific product would solve this problem for me, and it didn’t. At least I can share the experience with you, so you don’t need to repeat my mistake."
2023/04/20 23:46 (GMT+2),"How to run your own LLM (GPT) (English%20section%208f6665fa0621410daa32502748e3cc5d/Programming%20782f0b85dfd14027a6561954bf7bd674/How%20to%20run%20your%20own%20LLM%20(GPT)%205805c70bcc1a4eb09feeb27711eb143b.html) ","Some context about GPT & LLM (Large Language Models), how to run them on your own computer, and some examples how I use GPT4."
2023/07/31 8:44 (GMT+2),"SolarPi experiment 2: Finally something that works (English%20section%208f6665fa0621410daa32502748e3cc5d/Hardware%20cc05b2eaf3484c38bab698bd71deeaab/SolarPi%20experiment%202%20Finally%20something%20that%20works%20c5c3cb5f3b6a4c8d899a701e272b2a32.html) ","After more than a year, I finally got to the point where I have more or less 24/7 solar-powered Raspberry Pi microserver."
2024/08/17 2:09 (GMT+2),"CaptchaCoin (English%20section%208f6665fa0621410daa32502748e3cc5d/Concepts%20975c4694c90d478e85cb6f376f4968f4/CaptchaCoin%20f6af82ab67b44f59a7c9f2ed78c9282a.html) ","An old concept about time-multiplexing specific assets in the form of a ""cryptocurrency."" Backported from depth of my personal wiki."
2024/08/17 2:10 (GMT+2),"HobbyCell (English%20section%208f6665fa0621410daa32502748e3cc5d/Concepts%20975c4694c90d478e85cb6f376f4968f4/HobbyCell%208040c15239954ce2b2446c92f36b4fda.html) ","Startup idea for 3D printing-friendly electronic components which can be picked & placed by the 3D printer itself. Kinda like lego, but for electronics. Backported from depth of my personal wiki."
2024/08/17 2:31 (GMT+2),"Prusa MK4 upgrade (English%20section%208f6665fa0621410daa32502748e3cc5d/3D%20printing%20ccf53b5d87f6490f9e17f6c0c932c46a/Prusa%20MK4%20upgrade%20da898d2d516d430fb4293e5a809e4b7a.html) ",I've upgraded my Prusa MK3S+ 3D printer to MK4. This writeup contains the story of how it went and some observations about the improvements.
